IDIndikator;skrIndikator;IDTer;nTer;God+Mes;nVrTacka;nProizvod;IDVrPod;nVrPod;Vrednost;IDStatusPodatka;nStatusPodatka;IDStatusPoverljivosti;nStatusPoverljivosti;IDJedinicaMere;nJedinicaMere
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201900;2019;Ječam;2;ukupan prinos, t;25816;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201900;2019;Ječam;3;prinos, t/ha;3.5;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201900;2019;Kukuruz;1;požnjevena površina, ha / rodna površina, ha;37838;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201900;2019;Kukuruz;2;ukupan prinos, t;242541;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201900;2019;Kukuruz;3;prinos, t/ha;6.4;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202000;2020;Pšenica;1;požnjevena površina, ha / rodna površina, ha;27718;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202000;2020;Pšenica;2;ukupan prinos, t;134737;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202000;2020;Pšenica;3;prinos, t/ha;4.9;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202000;2020;Ječam;1;požnjevena površina, ha / rodna površina, ha;8630;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202000;2020;Ječam;2;ukupan prinos, t;39439;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202000;2020;Ječam;3;prinos, t/ha;4.6;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202000;2020;Kukuruz;1;požnjevena površina, ha / rodna površina, ha;40740;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202000;2020;Kukuruz;2;ukupan prinos, t;309340;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202000;2020;Kukuruz;3;prinos, t/ha;7.6;A;Konačan podatak;F;Slobodan za objavlјivanje;;
