proizvod,poreklo,datum,mesto_id,cena
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,02.07.2012,Beograd-pijaca,23.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,09.07.2012,Beograd-pijaca,24.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,16.07.2012,Beograd-pijaca,26.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,23.07.2012,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,30.07.2012,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,06.08.2012,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,13.08.2012,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,20.08.2012,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,27.08.2012,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,03.09.2012,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,10.09.2012,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,17.09.2012,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,24.09.2012,Beograd-pijaca,32.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,01.10.2012,Beograd-pijaca,32.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,08.10.2012,Beograd-pijaca,32.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,15.10.2012,Beograd-pijaca,32.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,22.10.2012,Beograd-pijaca,32.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,29.10.2012,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,05.11.2012,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,12.11.2012,Beograd-pijaca,30.00
